FULL NAME,TEAM,AGE,DATE OF BIRTH,HEIGHT,WEIGHT,TEAM,NATIONALITY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Anthony Gill,WAS,29,7-Jun,79,230,Virginia,USA,Undrafted,Undrafted,Undrafted,26,3.6,1.5,0.5,10.7,0.083,0.094,0.145,0.712,0.088
Anthony Lamb,SAS,24,6-Jun,78,227,Vermont,USA,Undrafted,Undrafted,Undrafted,2,0,0.5,1,29.4,0,0.125,0.105,0,0.4
Armoni Brooks,HOU,23,3-Jun,75,195,Houston,USA,2019,,,41,6.2,2,1.2,-4,0.016,0.097,0.168,0.49,0.102
Arnoldas Kulboka,CHA,24,10-Jun,82,209,None,Lithuania,2018,2,55,1,0,0,0,-133.3,0,0,0,0,0
Austin Reaves,LAL,23,5-Jun,77,197,Oklahoma,USA,Undrafted,Undrafted,Undrafted,39,6.2,2.6,1.3,7.3,0.026,0.088,0.109,0.626,0.079
Austin Rivers,DEN,29,4-Jun,76,200,Duke,USA,2012,1,10,44,6,1.7,1.1,0.3,0.017,0.065,0.133,0.539,0.075
Avery Bradley,LAL,31,3-Jun,75,180,Texas-Austin,USA,2010,1,19,49,6.6,2.3,0.8,-4.7,0.022,0.071,0.123,0.533,0.048
Ayo Dosunmu,CHI,22,4-Jun,76,200,Illinois,USA,2021,2,38,54,8.1,2.8,3.1,-0.9,0.013,0.095,0.131,0.611,0.156
BJ Johnson,ORL,26,6-Jun,78,200,La Salle,USA,Undrafted,Undrafted,Undrafted,4,6.5,3.8,0,-9.2,0.091,0.122,0.169,0.52,0
Bam Adebayo,MIA,24,9-Jun,81,255,Kentucky,USA,2017,1,14,34,18.6,10.2,3.5,7.3,0.087,0.218,0.25,0.577,0.178
Ben McLemore,POR,29,3-Jun,75,195,Kansas,USA,2013,1,7,42,9.1,1.6,0.9,-8.4,0.013,0.069,0.198,0.561,0.075
Bismack Biyombo,PHX,29,8-Jun,80,255,None,DRC,2011,1,7,17,8.5,6.4,0.8,11.7,0.144,0.193,0.18,0.612,0.062
Blake Griffin,BKN,32,9-Jun,81,250,Oklahoma,USA,2009,1,1,48,6.7,4.4,2,-3.9,0.063,0.167,0.166,0.508,0.156
Boban Marjanovic,DAL,33,3-Jul,87,290,None,Serbia,Undrafted,Undrafted,Undrafted,17,4.8,1.8,0.1,14.8,0.074,0.219,0.319,0.632,0.038
Bobby Portis,MIL,27,10-Jun,82,250,Arkansas,USA,2015,1,22,51,15.3,9.1,1.3,6.3,0.086,0.208,0.214,0.576,0.067
Bogdan Bogdanovic,ATL,29,6-Jun,78,225,None,Serbia,2014,1,27,40,13.3,3.9,3,1.3,0.011,0.118,0.191,0.563,0.148
Bojan Bogdanovic,UTA,32,7-Jun,79,226,None,Croatia,2011,2,31,56,17.8,4.4,1.7,5.6,0.027,0.107,0.23,0.594,0.084
Bol Bol,ORL,22,2-Jul,86,220,Oregon,Sudan,2019,2,44,14,2.4,1.4,0.4,0.5,0.049,0.211,0.16,0.565,0.102
Bones Hyland,DEN,21,2-Jun,74,169,Virginia Commonwealth,USA,2021,1,26,46,8.8,2.7,2,0.7,0.009,0.147,0.232,0.51,0.173
Brad Wanamaker,WAS,32,3-Jun,75,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,23,3.6,1.7,2.4,-6.4,0.018,0.107,0.146,0.472,0.243
Bradley Beal,WAS,28,4-Jun,76,207,Florida,USA,2012,1,3,40,23.2,4.7,6.6,-3.5,0.026,0.099,0.297,0.539,0.309
Brandon Boston Jr.,LAC,20,6-Jun,78,188,Kentucky,USA,2021,2,51,41,6.7,2.3,0.9,-3.9,0.019,0.116,0.211,0.472,0.093
Brandon Clarke,MEM,25,8-Jun,80,215,Gonzaga,Canada,2019,1,21,45,10.5,5.5,1.4,6.1,0.097,0.155,0.173,0.669,0.111
Brandon Goodwin,CLE,26,Jun-00,72,180,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted,16,5.3,2.4,3.1,-0.3,0.029,0.13,0.191,0.466,0.283
Brandon Ingram,NOP,24,8-Jun,80,190,Duke,USA,2016,1,2,45,22.1,5.7,5.4,0.7,0.02,0.146,0.288,0.538,0.258
Brandon Knight,DAL,30,2-Jun,74,182,Kentucky,USA,2011,1,8,3,10,2.3,2.7,7.9,0,0.095,0.217,0.638,0.229
Brandon Williams,POR,22,2-Jun,74,190,Arizona,USA,Undrafted,Undrafted,Undrafted,2,4,1,1,82.6,0,0.143,0.2,0.658,0.222
Braxton Key,PHI,25,8-Jun,80,225,Virginia,USA,Undrafted,Undrafted,Undrafted,2,1,1,0.5,-33.3,0.1,0.1,0.211,0.5,0.333
Brodric Thomas,BOS,25,5-Jun,77,185,Truman State,USA,Undrafted,Undrafted,Undrafted,8,1.1,0.8,0.6,10.3,0.053,0.075,0.163,0.379,0.161
Brook Lopez,MIL,33,Jul-00,84,282,Stanford,USA,2008,1,10,1,8,5,0,2,0.057,0.12,0.129,0.444,0
Bruce Brown,BKN,25,4-Jun,76,202,Miami,USA,2018,2,42,50,6.5,4.3,1.3,-4.1,0.055,0.134,0.131,0.536,0.088
Bruno Fernando,HOU,23,9-Jun,81,240,Maryland,Angola,2019,2,34,22,1.3,1,0.2,-24.2,0.12,0.153,0.167,0.568,0.098
Bryn Forbes,DEN,28,2-Jun,74,205,Michigan State,USA,Undrafted,Undrafted,Undrafted,55,9.5,1.5,1.1,-2.8,0.006,0.075,0.208,0.573,0.089
Buddy Hield,IND,29,4-Jun,76,220,Oklahoma,Bahamas,2016,1,6,59,14.8,4.2,2.1,-4.2,0.024,0.111,0.213,0.543,0.109
CJ Elleby,POR,21,6-Jun,78,200,Washington State,USA,2020,2,46,35,4.3,2.9,1.1,-6.8,0.054,0.139,0.135,0.489,0.105
CJ McCollum,NOP,30,3-Jun,75,190,Lehigh,USA,2013,1,10,41,21.5,4.5,4.6,-4.2,0.027,0.096,0.263,0.543,0.216
CJ Miles,BOS,34,6-Jun,78,220,No College,USA,2005,2,34,1,0,0,0,-100,0,0,0,0,0
Cade Cunningham,DET,20,6-Jun,78,220,Oklahoma State,USA,2021,1,1,44,15.7,5.5,5.2,-9.1,0.027,0.147,0.262,0.489,0.27
Caleb Martin,MIA,26,5-Jun,77,205,Nevada-Reno,USA,Undrafted,Undrafted,Undrafted,44,9.5,4,1,2.7,0.057,0.114,0.163,0.599,0.069
Cam Reddish,NYK,22,8-Jun,80,217,Duke,USA,2019,1,10,43,10.5,2.1,1,-10.1,0.021,0.075,0.219,0.535,0.077
Cam Thomas,BKN,20,3-Jun,75,210,Louisiana State,Japan,2021,1,27,48,9.8,2.6,1.3,-3.7,0.01,0.117,0.213,0.528,0.101
Cameron Johnson,PHX,25,8-Jun,80,210,North Carolina,USA,2019,1,11,55,11.9,4.2,1.3,7.9,0.023,0.126,0.16,0.622,0.071
Cameron McGriff,POR,24,7-Jun,79,220,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,3,4.7,5,1,7.3,0.098,0.209,0.122,0.47,0.086
Cameron Oliver,ATL,25,8-Jun,80,239,Nevada,USA,Undrafted,Undrafted,Undrafted,2,11.5,3,1.5,-0.9,0.051,0.121,0.167,0.705,0.097
Cameron Payne,PHX,27,1-Jun,73,183,Murray State,USA,2015,1,14,40,10.5,2.8,3.6,5.3,0.018,0.105,0.246,0.498,0.276
Caris LeVert,CLE,27,6-Jun,78,205,Michigan,USA,2016,1,20,43,18.2,3.6,4.4,-1.6,0.023,0.094,0.263,0.523,0.222
Carlik Jones,DEN,24,Jun-00,72,174,Louisville,USA,Undrafted,Undrafted,Undrafted,5,0.8,0.6,1,-33.1,0.042,0.069,0.22,0.202,0.417
Carmelo Anthony,LAL,37,7-Jun,79,238,Syracuse,USA,2003,1,3,50,13.4,4.2,1,1.5,0.03,0.113,0.192,0.583,0.057
Cassius Stanley,DET,22,5-Jun,77,190,Duke,USA,2020,2,54,9,5.8,2.1,0.4,-4.3,0.028,0.084,0.148,0.516,0.043
Cassius Winston,WAS,23,1-Jun,73,185,Michigan State,USA,2020,2,53,4,2.5,0,1,7.9,0,0,0.163,0.727,0.25
Cat Barber,ATL,27,1-Jun,73,173,North Carolina State,USA,2016,,,3,0,1,1,34.6,0.091,0.286,0.219,0,0.2
Cedi Osman,CLE,26,7-Jun,79,230,None,Turkey,2015,2,31,46,10.8,2.3,2,1.5,0.018,0.078,0.203,0.547,0.13
Chandler Hutchison,PHX,25,6-Jun,78,210,Boise State,USA,2018,1,22,6,0.7,0.8,0.3,27.3,0,0.167,0.111,0.694,0.105
Charles Bassey,PHI,21,9-Jun,81,230,Western Kentucky,Nigeria,2021,2,53,23,3,2.7,0.3,-8.8,0.124,0.233,0.152,0.66,0.07
Charlie Brown Jr.,PHI,25,6-Jun,78,199,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted,19,1.6,1.7,0.3,-3.8,0.069,0.09,0.109,0.346,0.047
Chaundee Brown Jr.,ATL,23,5-Jun,77,215,Michigan,USA,Undrafted,Undrafted,Undrafted,5,6.2,3.2,0.8,-8.7,0.009,0.139,0.146,0.447,0.056
Cheick Diallo,DET,25,8-Jun,80,219,Kansas,Mali,2016,2,33,3,3.7,4,0,-50.7,0.098,0.296,0.145,0.517,0
Chimezie Metu,SAC,24,9-Jun,81,225,Southern California,USA,2018,2,49,42,9,5.9,1.1,-5,0.03,0.225,0.183,0.528,0.074
Chris Boucher,TOR,29,9-Jun,81,200,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,55,9.1,5.9,0.3,5.5,0.093,0.184,0.175,0.569,0.024
Chris Chiozza,GSW,26,11-May,71,175,Florida,USA,Undrafted,Undrafted,Undrafted,26,2.1,1.2,1.8,-3.6,0.027,0.079,0.133,0.42,0.254
Chris Duarte,IND,24,5-Jun,77,190,Oregon,Dominican Republic,2021,1,13,50,13.4,4.1,2.2,-1.8,0.024,0.115,0.207,0.54,0.114
Chris Paul,PHX,36,Jun-00,72,175,Wake Forest,USA,2005,1,4,58,14.9,4.5,10.7,10.5,0.009,0.117,0.2,0.579,0.428
Chris Silva,MIA,25,8-Jun,80,234,South Carolina,Gabon,Undrafted,Undrafted,Undrafted,10,2.6,3.6,0.7,-16.1,0.127,0.274,0.123,0.641,0.13
Christian Wood,HOU,26,9-Jun,81,214,UNLV,USA,Undrafted,Undrafted,Undrafted,54,17.5,10.2,2.2,-10.6,0.054,0.266,0.234,0.573,0.12
Chuma Okeke,ORL,23,6-Jun,78,229,Auburn,USA,2019,1,16,49,8.2,4.7,1.6,-9.9,0.025,0.161,0.159,0.496,0.102
Clint Capela,ATL,27,10-Jun,82,256,None,Switzerland,2014,1,25,50,10.7,12.1,1.4,1.5,0.129,0.288,0.148,0.579,0.068
Coby White,CHI,22,4-Jun,76,195,North Carolina,USA,2019,1,7,39,14,3.1,2.8,-0.5,0.012,0.096,0.201,0.59,0.139
Cody Martin,CHA,26,6-Jun,78,205,Nevada-Reno,USA,2019,2,36,49,8,4.2,2.6,0.9,0.044,0.108,0.125,0.554,0.124
Cody Zeller,POR,29,11-Jun,83,240,Indiana,USA,2013,1,4,27,5.2,4.6,0.8,-2.1,0.128,0.212,0.153,0.627,0.087
Cole Anthony,ORL,21,3-Jun,75,185,North Carolina,USA,2020,1,15,46,17.7,5.8,5.9,-5.5,0.017,0.151,0.254,0.522,0.285
Collin Sexton,CLE,23,1-Jun,73,190,Alabama,USA,2018,1,8,11,16,3.3,2.1,-5.8,0.041,0.066,0.264,0.523,0.125
Corey Kispert,WAS,22,6-Jun,78,224,Gonzaga,USA,2021,1,15,53,6.8,2.5,0.9,2.7,0.035,0.089,0.147,0.552,0.066
Cory Joseph,DET,30,3-Jun,75,200,Texas-Austin,Canada,2011,1,29,47,8.1,2.5,3.9,-7.2,0.017,0.087,0.145,0.581,0.244
Craig Sword,WAS,28,3-Jun,75,196,Mississippi State,USA,Undrafted,Undrafted,Undrafted,3,2,0,0.3,8.3,0,0,0.125,0.75,0.1
D'Angelo Russell,MIN,25,4-Jun,76,193,Ohio State,USA,2015,1,2,45,18.8,3.5,7,6.9,0.011,0.092,0.253,0.539,0.323
D.J. Augustin,HOU,34,11-May,71,183,University of Texas at Austin,USA,2008,1,9,34,5.4,1.2,2.2,-13.5,0.013,0.067,0.158,0.596,0.215
D.J. Wilson,TOR,26,10-Jun,82,231,Michigan,USA,2017,1,17,3,8,4.7,1.3,-17,0.02,0.241,0.149,0.779,0.129
DaQuan Jeffries,MEM,24,5-Jun,77,222,Tulsa,USA,Undrafted,Undrafted,Undrafted,3,0.7,0.7,0.3,-10.5,0,0.25,0.091,0.5,0.167
Daishen Nix,HOU,20,4-Jun,76,226,None,USA,Undrafted,Undrafted,Undrafted,8,3.8,1.3,1.3,0,0.014,0.145,0.172,0.704,0.222
Dakota Mathias,MEM,26,4-Jun,76,200,Purdue,USA,2018,,,6,1,0.3,0.2,-25.4,0,0.154,0.15,0.5,0.125
Dalano Banton,TOR,22,7-Jun,79,204,Nebraska,Canada,2021,2,46,47,3.6,2.2,1.6,0.8,0.049,0.136,0.167,0.467,0.191
Damian Jones,SAC,26,11-Jun,83,245,Vanderbilt,USA,2016,1,30,37,6.3,3.9,1.1,-5.1,0.091,0.162,0.157,0.685,0.113
Damian Lillard,POR,31,2-Jun,74,195,Weber State,USA,2012,1,6,29,24,4.1,7.3,-1.8,0.012,0.104,0.288,0.55,0.321
Damion Lee,GSW,29,5-Jun,77,210,Drexel,USA,Undrafted,Undrafted,Undrafted,47,7.8,3.1,0.9,1.5,0.02,0.128,0.159,0.574,0.069
Damyean Dotson,NYK,27,5-Jun,77,210,Houston,USA,2017,2,44,2,2,1,0.5,-0.8,0,0.111,0.089,0.5,0.071
Daniel Gafford,WAS,23,9-Jun,81,234,Arkansas,USA,2019,2,38,49,8.8,6,1,-6.4,0.11,0.17,0.152,0.695,0.075
Daniel Oturu,TOR,22,8-Jun,80,240,Minnesota,USA,2020,2,33,3,3,1.7,0,-36.8,0.036,0.148,0.125,0.549,0
Daniel Theis,BOS,29,9-Jun,81,245,None,Germany,Undrafted,Undrafted,Undrafted,28,8.1,5.1,0.8,-14.8,0.05,0.161,0.161,0.566,0.064
Danilo Gallinari,ATL,33,10-Jun,82,236,None,Italy,2008,1,6,47,10.6,4.4,1.4,2.7,0.024,0.159,0.178,0.584,0.082
Danny Green,PHI,34,6-Jun,78,215,North Carolina,USA,2009,2,46,40,6.4,2.4,1,5.1,0.022,0.08,0.127,0.565,0.061
Danuel House Jr.,UTA,28,6-Jun,78,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted,26,5.5,2.5,1.2,-3.5,0.021,0.13,0.162,0.532,0.112
Darius Bazley,OKC,21,8-Jun,80,208,None,USA,2019,1,23,53,9.8,6.6,1.3,-10.4,0.037,0.181,0.177,0.491,0.077
Darius Garland,CLE,22,1-Jun,73,192,Vanderbilt,USA,2019,1,5,47,20.3,3.3,8,8.5,0.015,0.077,0.261,0.584,0.365
Darren Collison,LAL,34,Jun-00,72,160,UCLA,USA,2009,1,21,3,1.3,1.3,0.7,-18.4,0,0.091,0.077,0.286,0.063
David Duke Jr.,BKN,22,4-Jun,76,204,Providence,USA,Undrafted,Undrafted,Undrafted,19,5.1,3.4,0.8,1.6,0.084,0.108,0.149,0.456,0.063
David Johnson,TOR,20,4-Jun,76,203,Louisville,USA,2021,2,47,2,0,0,0,-75,0,0,0.143,0,0
David Nwaba,HOU,29,5-Jun,77,219,Cal Poly,USA,Undrafted,Undrafted,Undrafted,38,5.1,3.7,0.8,-9,0.061,0.195,0.149,0.545,0.085
Davion Mitchell,SAC,23,Jun-00,72,202,Baylor,USA,2021,1,9,53,10.4,2.4,3.5,-3.5,0.02,0.065,0.194,0.478,0.204
Davis Bertans,DAL,29,10-Jun,82,225,None,Latvia,2011,2,42,36,5.8,1.8,0.5,-3.1,0.013,0.111,0.17,0.523,0.047
Davon Reed,DEN,26,5-Jun,77,206,Miami,USA,2017,2,32,29,4,2.5,1,4.7,0.024,0.152,0.114,0.602,0.111
Day'Ron Sharpe,BKN,20,9-Jun,81,265,North Carolina,USA,2021,1,29,30,6.1,5.1,0.5,7.7,0.199,0.195,0.203,0.582,0.057
De'Aaron Fox,SAC,24,3-Jun,75,185,Kentucky,USA,2017,1,5,48,21.8,3.9,5.1,-5.1,0.013,0.096,0.279,0.539,0.24
De'Andre Hunter,ATL,24,8-Jun,80,221,Virginia,USA,2019,1,4,30,13,3.4,1.2,-2.3,0.018,0.096,0.195,0.543,0.058
De'Anthony Melton,MEM,23,2-Jun,74,200,Southern California,USA,2018,2,46,51,9.9,4.5,2.7,6.9,0.041,0.145,0.2,0.497,0.156
DeAndre Jordan,LAL,33,11-Jun,83,265,Texas A&M,USA,2008,2,35,31,4.2,5.5,0.4,-10.8,0.115,0.256,0.124,0.657,0.05
DeAndre' Bembry,MIL,27,5-Jun,77,210,St. Joseph's (PA),USA,2016,1,21,48,5.8,3.2,1.3,-0.2,0.041,0.108,0.117,0.609,0.085
DeJon Jarreau,IND,24,5-Jun,77,185,Houston,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,100,0,0,0,0,0
DeMar DeRozan,CHI,32,6-Jun,78,220,Southern California,USA,2009,1,9,55,28.1,5.2,5.1,5.4,0.024,0.119,0.307,0.601,0.24
DeMarcus Cousins,DEN,31,10-Jun,82,270,Kentucky,USA,2010,1,5,25,8.1,5.9,1.1,3.6,0.099,0.286,0.235,0.522,0.099
Dean Wade,CLE,25,9-Jun,81,228,Kansas State,USA,Undrafted,Undrafted,Undrafted,43,5.5,3.1,1.2,1.2,0.032,0.125,0.109,0.596,0.088
Deandre Ayton,PHX,23,11-Jun,83,250,Arizona,Bahamas,2018,1,1,37,16.5,10.3,1.4,7,0.096,0.243,0.215,0.654,0.074
Deividas Sirvydis,DET,21,8-Jun,80,190,None,Lithuania,2019,2,37,3,1,2,0.3,-42.3,0,0.2,0.149,0.15,0.063
Dejounte Murray,SAS,25,4-Jun,76,180,Washington,USA,2016,1,29,52,19.9,8.3,9.3,2.6,0.035,0.196,0.261,0.519,0.388
Delon Wright,ATL,29,5-Jun,77,185,Utah,USA,2015,1,20,53,4.3,2.9,2.5,1.5,0.037,0.12,0.109,0.554,0.192
Deni Avdija,WAS,21,9-Jun,81,210,None,Israel,2020,1,9,58,7.7,5.1,1.7,2.1,0.028,0.18,0.147,0.544,0.099
Dennis Schroder,HOU,28,1-Jun,73,172,None,Germany,2013,1,17,52,14.2,3.4,4.4,0.8,0.02,0.094,0.229,0.54,0.245
Dennis Smith Jr.,POR,24,2-Jun,74,205,North Carolina State,USA,2017,1,9,37,5.6,2.4,3.6,-9.8,0.029,0.107,0.173,0.474,0.311
Denzel Valentine,UTA,28,4-Jun,76,220,Michigan State,USA,2016,1,14,24,2.9,1.8,0.5,-5.1,0.04,0.15,0.15,0.523,0.074
Derrick Favors,OKC,30,9-Jun,81,265,Georgia Tech,USA,2010,1,3,38,5.3,4.8,0.6,-10.9,0.081,0.177,0.132,0.532,0.061
Derrick Jones Jr.,CHI,25,6-Jun,78,210,UNLV,USA,Undrafted,Undrafted,Undrafted,34,6.1,3.4,0.6,4.6,0.075,0.119,0.127,0.652,0.042
Derrick Rose,NYK,33,2-Jun,74,200,Memphis,USA,2008,1,1,26,12,3,4,5.8,0.032,0.08,0.217,0.541,0.266
Derrick Walton Jr.,DET,26,Jun-00,72,185,Michigan,USA,Undrafted,Undrafted,Undrafted,3,6.3,3.3,7,0.5,0.015,0.068,0.142,0.342,0.269
Derrick White,BOS,27,4-Jun,76,190,Colorado,USA,2017,1,29,53,14.2,3.6,5.5,3.2,0.017,0.092,0.203,0.547,0.249
Desmond Bane,MEM,23,5-Jun,77,215,TCU,USA,2020,1,30,56,17.9,4.5,2.5,4.4,0.018,0.121,0.223,0.587,0.125
Devin Booker,PHX,25,5-Jun,77,206,Kentucky,USA,2015,1,13,51,25.5,5.2,4.5,8.9,0.024,0.118,0.314,0.555,0.202
Devin Vassell,SAS,21,5-Jun,77,200,Florida State,USA,2020,1,11,51,11.5,4.2,1.7,3.2,0.02,0.134,0.184,0.537,0.089
Devon Dotson,CHI,22,1-Jun,73,185,Kansas,USA,Undrafted,Undrafted,Undrafted,11,2.6,0.8,1.4,-2.4,0.011,0.105,0.156,0.538,0.283
Devontae Cacok,SAS,25,7-Jun,79,240,North Carolina-Wilmington,USA,Undrafted,Undrafted,Undrafted,10,3.6,3,0.2,1.7,0.054,0.294,0.139,0.69,0.04
Devonte' Graham,NOP,26,1-Jun,73,195,Kansas,USA,2018,2,34,55,13,2.6,4.4,-0.5,0.015,0.067,0.197,0.51,0.212
Dewayne Dedmon,MIA,32,Jul-00,84,245,Southern California,USA,Undrafted,Undrafted,Undrafted,50,6.6,6.1,0.7,6.3,0.111,0.254,0.163,0.649,0.069
Didi Louzada,POR,22,5-Jun,77,188,None,Brazil,2019,2,35,2,0,1,0.5,-20.5,0.182,0,0.188,0,0.2
Dillon Brooks,MEM,26,7-Jun,79,225,Oregon,Canada,2017,2,45,21,18.4,3.3,2.7,8.8,0.027,0.087,0.286,0.521,0.149
Domantas Sabonis,SAC,25,11-Jun,83,240,Gonzaga,Lithuania,2016,1,11,51,18.8,12,5.1,-0.1,0.093,0.257,0.216,0.644,0.231
Donovan Mitchell,UTA,25,1-Jun,73,215,Louisville,USA,2017,1,13,46,25.7,4.2,5.2,9.1,0.028,0.092,0.32,0.578,0.257
Donte DiVincenzo,SAC,25,4-Jun,76,203,Villanova,USA,2018,1,17,20,7.5,3.7,2.1,-3.1,0.045,0.118,0.193,0.465,0.142
Dorian Finney-Smith,DAL,28,7-Jun,79,220,Florida,USA,Undrafted,Undrafted,Undrafted,58,10.1,4.8,1.9,4.9,0.048,0.098,0.137,0.568,0.081
Doug McDermott,SAS,30,7-Jun,79,225,Creighton,USA,2014,1,11,43,11.9,2.5,1.2,-1,0.014,0.083,0.18,0.602,0.063
Draymond Green,GSW,31,6-Jun,78,230,Michigan State,USA,2012,2,35,34,7.9,7.6,7.4,9.8,0.038,0.2,0.142,0.581,0.328
Drew Eubanks,SAS,25,9-Jun,81,245,Oregon State,USA,Undrafted,Undrafted,Undrafted,49,4.7,4,1,-5.6,0.1,0.196,0.168,0.588,0.123
Duane Washington Jr.,IND,21,3-Jun,75,197,Ohio State,Germany,Undrafted,Undrafted,Undrafted,28,8.8,1.8,1.9,-10.4,0.003,0.09,0.209,0.485,0.144
Duncan Robinson,MIA,27,7-Jun,79,215,Michigan,USA,Undrafted,Undrafted,Undrafted,56,11.8,3,1.6,3.5,0.013,0.096,0.178,0.565,0.089
Dwight Howard,LAL,36,10-Jun,82,265,None,USA,2004,1,1,42,5.1,5.4,0.5,-1,0.128,0.236,0.139,0.653,0.049
Dwight Powell,DAL,30,10-Jun,82,240,Stanford,Canada,2014,2,45,59,7.4,4.4,1.1,1.9,0.097,0.121,0.127,0.705,0.081
Dylan Windler,CLE,25,6-Jun,78,196,Belmont,USA,2019,1,26,37,2.5,1.7,0.7,-1,0.043,0.141,0.119,0.581,0.114
Ed Davis,CLE,32,9-Jun,81,218,North Carolina,USA,2010,1,13,19,1.1,2.3,0.3,-0.4,0.05,0.248,0.072,0.599,0.054
Elfrid Payton,PHX,27,3-Jun,75,195,Louisana-Lafayette,USA,2014,1,10,38,3.3,2,2.2,1.6,0.041,0.118,0.173,0.411,0.249
